,MsSubClass,Zone,Neighborhood,Area,Room,YearBuilt,Sale-Rent,Document,Floor,AllFloors,Elevator,Warehouse,Parking,Reconstruction,Balconcy,PricePerMeter,TotalPrice
108,0,1,10,183,3,19,0,0,2,3,1,1,1,0,1,177049000.0,32400000000.0
109,0,1,6,185,3,25,0,0,2,3,0,1,1,1,1,243243000.0,45000000000.0
110,0,1,7,193,3,31,0,0,2,3,0,1,1,0,1,124352000.0,24000000000.0
111,0,1,7,196,3,17,0,0,2,3,1,1,1,0,1,121428000.0,23800000000.0
112,0,1,1,200,3,21,0,0,3,3,1,1,1,1,1,115000000.0,23000000000.0
113,0,1,4,200,3,20,0,0,2,3,1,1,1,0,1,225000000.0,45000000000.0
114,0,1,1,200,3,18,0,0,3,3,1,1,1,1,1,111500000.0,22300000000.0
115,0,1,17,210,3,30,0,0,3,3,0,0,0,0,0,80476000.0,16900000000.0
116,0,1,23,210,3,18,0,0,2,3,1,1,1,1,1,204761000.0,43000000000.0
117,0,1,10,215,3,23,0,0,2,3,1,1,1,0,1,320930000.0,69000000000.0
118,0,1,16,230,3,4,0,3,1,3,1,1,1,1,1,104347000.0,24000000000.0
119,0,1,21,237,3,1,0,0,5,3,1,1,1,0,1,300000000.0,71100000000.0
120,0,1,3,238,2,33,0,1,1,3,0,1,0,0,1,168067000.0,40000000000.0
121,0,1,4,240,3,23,0,0,3,3,0,1,1,1,1,270833000.0,65000000000.0
122,0,1,6,240,4,17,0,0,2,3,0,1,1,0,1,108333000.0,26000000000.0
123,0,1,5,245,3,13,0,0,2,3,1,1,1,1,1,244897000.0,60000000000.0
124,0,1,4,258,3,22,0,0,3,3,1,1,1,1,1,217054000.0,56000000000.0
125,0,1,2,270,4,33,0,0,2,3,0,1,0,1,1,181481000.0,49000000000.0
126,0,1,4,282,3,33,0,0,1,3,1,1,1,0,1,205673000.0,58000000000.0
127,0,1,6,282,3,1,0,0,1,3,1,1,1,0,1,166666000.0,47000000000.0
128,0,1,20,320,4,18,0,0,2,3,0,1,1,1,1,234375000.0,75000000000.0
129,0,1,5,330,4,15,0,0,1,3,1,1,1,1,1,193939000.0,64000000000.0
130,0,1,6,45,1,1,0,0,4,4,1,1,1,0,0,233333000.0,10500000000.0
131,0,1,15,50,1,19,0,0,2,4,1,1,0,1,0,210000000.0,10500000000.0
132,0,1,17,50,1,18,0,0,2,4,0,1,0,1,1,100000000.0,5000000000.0
133,0,1,15,50,1,1,0,0,3,4,1,1,0,0,1,124000000.0,6200000000.0
134,0,1,17,51,1,23,0,0,1,4,0,0,0,1,1,109803000.0,5600000000.0
135,0,1,15,53,1,13,0,0,4,4,1,1,0,1,0,57547000.0,3050000000.0
136,0,1,4,53,1,7,0,0,2,4,1,1,0,1,0,141509000.0,7500000000.0
137,0,1,18,55,1,19,0,0,2,4,0,1,0,0,1,112727000.0,6200000000.0
138,0,1,9,55,1,14,0,0,0,4,0,0,0,1,1,138181000.0,7600000000.0
139,0,1,27,55,1,10,0,0,3,4,1,1,1,0,0,123636000.0,6800000000.0
140,0,1,4,55,1,9,0,0,2,4,1,1,0,1,1,150909000.0,8300000000.0
141,0,1,27,55,1,6,0,0,3,4,1,1,1,1,1,125454000.0,6900000000.0
142,0,1,15,55,2,1,0,0,3,4,1,1,1,0,1,230909000.0,12700000000.0
143,0,1,15,56,1,28,0,0,0,4,0,0,0,1,0,131250000.0,7350000000.0
144,0,1,15,57,1,11,0,0,2,4,0,1,1,1,0,150877000.0,8600000000.0
145,0,1,15,60,3,21,0,0,2,4,0,1,0,1,1,120000000.0,7200000000.0
146,0,1,6,60,1,20,0,0,1,4,0,1,0,1,1,128333000.0,7700000000.0
147,0,1,8,60,2,11,0,0,3,4,1,1,1,0,0,125000000.0,7500000000.0
148,0,1,6,60,1,10,0,0,2,4,0,1,1,1,0,143333000.0,8600000000.0
149,0,1,18,60,1,5,0,0,1,4,1,1,1,1,0,131666000.0,7900000000.0
150,0,1,5,60,1,2,0,0,3,4,1,1,1,0,1,208333000.0,12500000000.0
151,0,1,15,60,1,1,0,0,3,4,1,1,1,0,0,195000000.0,11700000000.0
152,0,1,15,62,2,11,0,0,3,4,1,0,1,1,0,122580000.0,7600000000.0
153,0,1,27,63,1,23,0,0,3,4,0,1,1,0,1,100793000.0,6350000000.0
154,0,1,9,63,2,23,0,1,2,4,0,1,0,1,1,103174000.0,6500000000.0
155,0,1,7,63,2,18,0,0,0,4,0,1,0,1,0,84126000.0,5300000000.0
156,0,1,10,64,1,11,0,0,2,4,1,1,1,1,1,140000000.0,8960000000.0
157,0,1,10,64,1,11,0,0,2,4,1,1,1,0,1,139062000.0,8900000000.0
158,0,1,15,65,1,28,0,0,0,4,0,1,0,1,0,126153000.0,8200000000.0
159,0,1,15,65,1,21,0,0,0,4,0,1,0,1,0,80000000.0,5200000000.0
160,0,1,6,65,2,15,0,0,1,4,1,1,0,1,1,120000000.0,7800000000.0
161,0,1,15,65,2,12,0,0,4,4,1,1,1,0,1,140000000.0,9100000000.0
162,0,1,1,65,1,10,0,0,4,4,1,1,1,0,0,104615000.0,6800000000.0
163,0,1,21,65,1,10,0,0,4,4,1,0,1,1,0,159230000.0,10350000000.0
164,0,1,6,65,1,5,0,0,2,4,1,1,1,1,1,184615000.0,12000000000.0
165,0,1,5,65,1,3,0,0,3,4,1,1,1,0,1,184615000.0,12000000000.0
166,0,1,10,65,1,2,0,0,2,4,1,1,1,0,1,176923000.0,11500000000.0
167,0,1,4,66,1,28,0,0,0,4,0,1,0,1,0,124242000.0,8200000000.0
168,0,1,15,66,1,10,0,0,2,4,0,0,1,0,1,131818000.0,8700000000.0
169,0,1,4,66,1,8,0,0,2,4,1,1,0,0,0,140909000.0,9300000000.0
170,0,1,4,66,1,6,0,0,2,4,1,1,0,0,0,140909000.0,9300000000.0
171,0,1,6,67,1,8,0,0,1,4,1,1,1,0,1,156716000.0,10500000000.0
172,0,1,15,67,1,8,0,0,1,4,1,0,1,0,1,156716000.0,10500000000.0
173,0,1,15,67,1,7,0,0,1,4,1,1,1,0,0,159701000.0,10700000000.0
174,0,1,10,68,2,13,0,0,3,4,1,1,1,1,1,125000000.0,8500000000.0
175,0,1,8,68,2,6,0,0,1,4,1,1,1,0,1,132352000.0,9000000000.0
176,0,1,28,69,1,11,0,0,4,4,1,1,1,1,0,135000000.0,9315000000.0
177,0,1,6,70,2,18,0,0,1,4,0,0,0,1,1,164285000.0,11500000000.0
178,0,1,15,70,1,18,0,0,1,4,1,1,1,0,1,140000000.0,9800000000.0
179,0,1,6,70,2,17,0,0,3,4,0,0,0,1,1,104285000.0,7300000000.0
180,0,1,28,70,1,15,0,0,1,4,1,1,1,1,0,100000000.0,7000000000.0
181,0,1,12,70,2,12,0,3,3,4,1,1,1,0,0,111428000.0,7800000000.0
182,0,1,17,73,2,23,0,0,2,4,0,1,1,0,1,116438000.0,8500000000.0
183,0,1,7,74,2,23,0,0,3,4,0,1,1,1,0,159459000.0,11800000000.0
184,0,1,4,74,2,2,0,3,4,4,1,1,0,0,0,128378000.0,9500000000.0
185,0,1,7,75,2,23,0,0,1,4,0,1,0,1,0,97333000.0,7300000000.0
186,0,1,6,75,2,20,0,0,1,4,0,0,0,1,1,153333000.0,11500000000.0
187,0,1,28,75,2,19,0,1,2,4,0,1,0,1,0,98666000.0,7400000000.0
188,0,1,8,75,2,17,0,0,1,4,1,1,1,1,1,122666000.0,9200000000.0
189,0,1,6,75,2,16,0,0,3,4,0,1,0,1,1,100000000.0,7500000000.0
190,0,1,15,75,2,16,0,0,1,4,1,1,1,1,1,118666000.0,8900000000.0
191,0,1,28,75,2,13,0,1,2,4,0,1,1,1,0,96000000.0,7200000000.0
192,0,1,5,75,1,11,0,0,3,4,1,1,1,1,1,182666000.0,13700000000.0
193,0,1,27,75,1,9,0,0,2,4,1,0,1,0,1,109333000.0,8200000000.0
